ScoreType,Runs,isWicket,WicketType,EffectedBy,OutBatsman,isExtra,ExtraType,ExtraSubType,ExtraRuns,NextBowler,NextBatsman,FacingBatsman,POMTeam,POM
BATSMAN,,,,,,,,,,,Shai Hope,,,
BATSMAN,,,,,,,,,,,Denesh Ramdin,,,
FACING,,,,,,,,,,,,Shai Hope,,
BOWLER,,,,,,,,,,Umesh Yadav,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,K Khaleel Ahmed,,,,
BALL,0,,,,,TRUE,WIDE,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Umesh Yadav,,,,
BALL,0,TRUE,CAUGHT,Dinesh Karthik,,,,,,,,,,
BATSMAN,,,,,,,,,,,Shimron Hetmyer,,,
FACING,,,,,,,,,,,,Shimron Hetmyer,,
BALL,0,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BOWLER,,,,,,,,,,K Khaleel Ahmed,,,,
BALL,0,TRUE,RUN_OUT,Manish Pandey,Shai Hope,,,,,,,,,
BATSMAN,,,,,,,,,,,Kieron Pollard,,,
FACING,,,,,,,,,,,,Kieron Pollard,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Jasprit Bumrah,,,,
BALL,1,,,,,,,,,,,,,
BALL,1,,,,,,,,,,,,,
BALL,4,,,,,,,,,,,,,
BALL,0,TRUE,CAUGHT,Dinesh Karthik,,,,,,,,,,
BATSMAN,,,,,,,,,,,Darren Bravo,,,
FACING,,,,,,,,,,,,Kieron Pollard,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,K Khaleel Ahmed,,,,
BALL,2,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
BOWLER,,,,,,,,,,Jasprit Bumrah,,,,
BALL,1,,,,,,,,,,,,,
BALL,0,,,,,,,,,,,,,
